Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
21,0,Non-Travel,Sales,9,2,Medical,1,Male,39,3,1,Sales Representative,4,Single,1,No,24,4,3,0,3,3,2,3,2,2,2
33,1,Travel_Rarely,Sales,5,3,Marketing,4,Female,34,3,1,Sales Representative,3,Single,1,Yes,13,3,2,0,1,2,3,1,0,0,0
37,0,Travel_Rarely,Research & Development,10,3,Medical,3,Female,98,3,1,Laboratory Technician,1,Married,6,No,20,4,2,1,17,3,3,5,4,0,3
46,0,Non-Travel,Research & Development,7,4,Medical,3,Female,30,3,2,Manufacturing Director,3,Married,2,No,14,3,3,0,7,2,4,1,0,0,0
41,1,Travel_Frequently,Sales,4,3,Marketing,1,Male,56,3,2,Sales Executive,2,Single,1,No,18,3,3,0,8,5,3,8,7,7,7
50,0,Travel_Rarely,Research & Development,10,3,Technical Degree,4,Male,100,2,3,Healthcare Representative,4,Single,6,No,15,3,4,0,20,2,3,4,3,1,3
40,1,Travel_Rarely,Sales,22,2,Marketing,3,Male,68,2,2,Sales Executive,3,Married,2,Yes,12,3,1,2,8,6,3,6,4,1,0
31,0,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,42,2,1,Research Scientist,2,Single,0,Yes,16,3,4,0,3,5,3,2,2,2,2
21,1,Travel_Rarely,Sales,12,3,Life Sciences,3,Female,90,4,1,Sales Representative,2,Single,1,No,15,3,4,0,1,0,3,1,0,0,0
29,0,Travel_Rarely,Research & Development,23,3,Life Sciences,4,Male,54,3,1,Research Scientist,4,Single,9,No,16,3,4,0,6,4,3,3,2,1,2
35,0,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,97,2,2,Healthcare Representative,2,Single,9,No,19,3,3,0,10,5,3,1,1,0,0
27,0,Travel_Rarely,Research & Development,1,2,Medical,4,Male,82,3,1,Laboratory Technician,2,Divorced,1,No,11,3,2,1,5,2,3,5,2,0,4
28,0,Travel_Rarely,Sales,9,4,Life Sciences,2,Male,92,3,2,Sales Executive,4,Single,1,No,16,3,4,0,7,1,3,7,5,0,7
49,0,Travel_Rarely,Research & Development,7,3,Other,2,Male,31,2,3,Healthcare Representative,3,Single,8,No,24,4,3,0,26,2,3,5,2,0,0
51,0,Travel_Rarely,Sales,14,2,Life Sciences,3,Female,87,3,2,Sales Executive,4,Married,4,No,11,3,3,1,18,2,2,7,7,0,7
36,0,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Female,96,3,1,Research Scientist,3,Married,4,No,13,3,2,1,6,3,3,2,2,2,2
34,1,Non-Travel,Sales,19,3,Marketing,1,Male,67,4,2,Sales Executive,4,Single,8,Yes,13,3,2,0,9,3,2,5,2,0,4
55,0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,97,3,4,Manager,4,Single,2,Yes,13,3,3,0,30,2,3,5,4,1,2
24,0,Travel_Rarely,Sales,10,4,Marketing,4,Female,77,3,2,Sales Executive,3,Divorced,1,Yes,12,3,4,1,5,2,4,5,2,0,3
30,0,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,72,3,1,Sales Representative,2,Married,1,No,18,3,1,1,1,3,3,1,0,0,0
26,1,Travel_Frequently,Research & Development,3,1,Technical Degree,3,Male,73,3,1,Research Scientist,1,Single,0,No,22,4,3,0,7,2,3,6,4,0,4
22,0,Travel_Rarely,Research & Development,11,3,Medical,1,Female,43,3,1,Research Scientist,2,Married,1,No,13,3,4,1,2,1,3,2,1,1,2
36,0,Travel_Rarely,Sales,2,2,Medical,2,Male,61,2,3,Sales Executive,3,Married,1,No,13,3,2,2,10,2,3,10,9,9,0
30,1,Travel_Frequently,Research & Development,4,3,Technical Degree,3,Male,40,3,1,Research Scientist,4,Single,9,Yes,23,4,3,0,3,4,3,1,0,0,0
37,0,Travel_Rarely,Research & Development,14,3,Life Sciences,4,Female,95,3,1,Laboratory Technician,1,Divorced,1,No,12,3,3,1,18,2,2,18,7,12,17
40,0,Travel_Rarely,Sales,2,2,Marketing,4,Female,46,3,2,Sales Executive,2,Divorced,7,No,12,3,3,2,8,5,3,5,4,1,3
42,0,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Female,95,3,1,Laboratory Technician,1,Divorced,3,No,16,3,2,1,8,5,3,5,2,1,2
37,0,Travel_Rarely,Research & Development,10,4,Life Sciences,3,Male,49,3,2,Manufacturing Director,2,Single,2,Yes,12,3,4,0,18,2,2,1,0,0,1
43,0,Travel_Rarely,Research & Development,12,3,Life Sciences,1,Male,59,2,4,Research Director,2,Divorced,1,No,11,3,3,1,25,3,3,25,10,3,9
40,0,Travel_Rarely,Research & Development,2,3,Medical,2,Female,78,2,2,Laboratory Technician,3,Married,6,No,22,4,2,1,20,3,3,1,0,0,0
54,0,Travel_Rarely,Research & Development,5,2,Medical,1,Male,86,3,5,Research Director,1,Married,4,No,11,3,3,1,24,4,2,4,2,1,2
34,0,Non-Travel,Sales,4,4,Marketing,3,Female,72,3,2,Sales Executive,3,Married,9,No,15,3,1,1,6,3,3,3,2,1,2
31,0,Travel_Rarely,Research & Development,7,2,Medical,2,Female,31,3,2,Manufacturing Director,1,Married,1,No,12,3,2,1,13,5,1,13,10,3,12
43,0,Travel_Frequently,Research & Development,21,3,Medical,4,Male,61,3,1,Laboratory Technician,4,Married,7,No,20,4,1,1,8,1,3,3,2,1,2
43,0,Travel_Rarely,Research & Development,8,4,Other,3,Female,74,3,2,Healthcare Representative,3,Divorced,4,Yes,14,3,4,0,8,3,3,5,2,0,2
25,0,Travel_Rarely,Sales,4,2,Life Sciences,2,Female,99,2,2,Sales Executive,4,Single,1,Yes,11,3,2,0,5,3,3,5,4,1,3
37,0,Non-Travel,Research & Development,25,5,Medical,2,Female,72,3,2,Research Scientist,3,Married,3,Yes,15,3,1,2,15,2,3,13,11,10,7
31,0,Travel_Rarely,Research & Development,1,2,Life Sciences,4,Male,98,2,1,Laboratory Technician,1,Married,1,No,12,3,3,1,4,3,3,4,2,3,2
39,0,Travel_Frequently,Research & Development,1,1,Life Sciences,2,Male,52,3,5,Manager,3,Divorced,1,Yes,14,3,3,1,21,3,3,21,8,1,6
56,0,Travel_Frequently,Sales,6,3,Life Sciences,3,Female,86,4,4,Sales Executive,1,Married,9,No,11,3,4,3,36,0,2,7,7,7,7
30,0,Travel_Rarely,Sales,12,3,Technical Degree,2,Female,83,3,2,Sales Executive,3,Single,0,No,11,3,2,0,6,6,3,5,4,4,4
41,0,Travel_Rarely,Sales,1,3,Marketing,2,Male,49,4,3,Sales Executive,1,Married,1,No,16,3,3,1,10,2,3,10,7,0,7
28,0,Travel_Rarely,Research & Development,17,2,Medical,3,Male,79,3,2,Laboratory Technician,1,Divorced,1,No,12,3,4,1,10,2,3,10,0,1,8
25,1,Travel_Rarely,Research & Development,3,3,Medical,1,Male,91,3,1,Laboratory Technician,1,Married,5,No,13,3,3,1,6,5,3,2,2,0,2
52,0,Travel_Rarely,Research & Development,3,3,Medical,4,Male,39,2,3,Manufacturing Director,3,Married,2,Yes,14,3,3,0,28,4,3,5,4,0,4
45,0,Travel_Rarely,Research & Development,10,2,Life Sciences,1,Male,69,3,1,Research Scientist,4,Married,3,No,21,4,4,2,8,3,2,2,2,0,2
52,0,Travel_Rarely,Research & Development,4,2,Life Sciences,4,Female,30,3,4,Manager,4,Married,2,No,13,3,4,0,31,2,1,5,2,1,4
42,0,Travel_Frequently,Research & Development,29,2,Life Sciences,1,Female,92,3,2,Research Scientist,3,Divorced,2,No,11,3,2,1,19,3,3,5,4,0,2
30,0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,43,1,2,Manufacturing Director,4,Single,2,No,20,4,3,0,11,2,3,5,4,0,2
60,0,Travel_Rarely,Research & Development,7,3,Life Sciences,1,Female,41,3,5,Manager,1,Married,5,No,11,3,4,0,33,5,1,29,8,11,10
46,0,Travel_Rarely,Research & Development,18,3,Medical,3,Female,87,3,2,Manufacturing Director,3,Divorced,2,No,14,3,3,1,19,5,2,10,7,0,8
42,0,Travel_Frequently,Research & Development,28,4,Technical Degree,4,Female,88,2,2,Healthcare Representative,4,Married,0,No,11,3,4,3,7,4,4,6,5,0,4
24,1,Travel_Rarely,Sales,1,1,Technical Degree,1,Female,62,3,1,Sales Representative,2,Single,1,Yes,16,3,2,0,6,4,3,5,3,1,4
34,1,Travel_Frequently,Sales,6,2,Marketing,4,Female,33,1,1,Sales Representative,3,Divorced,0,No,16,3,4,1,3,3,2,2,2,1,0
38,0,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,42,3,1,Laboratory Technician,4,Married,1,Yes,23,4,3,1,1,3,3,1,0,0,0
40,0,Travel_Rarely,Sales,2,4,Life Sciences,3,Female,79,3,5,Manager,3,Married,0,No,14,3,4,0,21,2,3,20,15,1,12
26,0,Travel_Rarely,Research & Development,23,3,Life Sciences,1,Female,90,3,1,Research Scientist,4,Divorced,1,No,22,4,2,2,3,3,1,3,2,0,2
30,0,Non-Travel,Research & Development,3,3,Life Sciences,3,Male,53,3,1,Laboratory Technician,4,Married,4,No,15,3,3,1,9,3,1,5,3,1,4
29,0,Travel_Rarely,Research & Development,3,4,Medical,2,Male,93,2,3,Research Director,3,Married,1,No,18,3,3,0,10,2,3,10,2,0,7
29,1,Travel_Rarely,Research & Development,25,5,Technical Degree,3,Female,71,2,1,Research Scientist,2,Married,5,No,16,3,2,0,6,2,4,2,2,1,1
19,1,Travel_Rarely,Human Resources,2,2,Technical Degree,1,Male,52,2,1,Human Resources,4,Single,1,No,12,3,3,0,1,3,4,1,0,0,0
30,0,Non-Travel,Sales,22,4,Other,3,Female,69,3,3,Sales Executive,1,Married,0,No,11,3,3,0,10,3,3,9,8,7,8
57,0,Travel_Rarely,Sales,29,3,Marketing,1,Male,56,2,4,Manager,4,Divorced,3,No,12,3,3,1,32,3,2,1,0,0,0
50,0,Travel_Rarely,Research & Development,29,4,Life Sciences,2,Male,88,2,4,Manager,3,Married,0,No,15,3,2,1,28,2,3,27,10,15,7
30,0,Non-Travel,Research & Development,2,3,Medical,3,Female,49,3,1,Laboratory Technician,4,Single,0,No,14,3,3,0,12,2,2,11,7,6,7
60,0,Travel_Frequently,Sales,28,3,Marketing,3,Female,80,2,3,Sales Executive,1,Married,4,No,19,3,4,0,22,5,4,18,13,13,11
47,0,Travel_Rarely,Research & Development,2,2,Medical,1,Female,65,3,2,Manufacturing Director,4,Divorced,5,No,13,3,3,3,20,2,3,5,0,0,4
46,0,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,51,3,4,Research Director,3,Married,6,No,13,3,3,0,26,2,1,3,2,0,1
35,0,Travel_Rarely,Research & Development,22,3,Life Sciences,4,Male,46,1,1,Laboratory Technician,3,Single,0,No,15,3,3,0,6,2,3,5,4,4,3
54,0,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,42,3,2,Laboratory Technician,3,Single,7,No,11,3,3,0,19,3,3,1,0,0,0
34,0,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,62,2,1,Research Scientist,3,Divorced,3,No,12,3,3,1,14,3,3,7,3,5,7
46,0,Travel_Rarely,Sales,10,3,Marketing,3,Female,94,2,3,Sales Executive,4,Married,2,Yes,19,3,3,1,15,3,3,3,2,1,2
31,0,Travel_Rarely,Research & Development,9,1,Life Sciences,3,Male,33,3,3,Manufacturing Director,2,Divorced,1,No,25,4,4,1,13,6,4,13,8,0,8
33,1,Travel_Rarely,Research & Development,15,1,Medical,2,Male,56,3,3,Manager,3,Married,7,Yes,12,3,4,0,15,2,4,7,6,7,7
33,1,Travel_Rarely,Research & Development,10,1,Medical,1,Male,38,1,1,Laboratory Technician,4,Divorced,7,No,13,3,1,3,8,2,3,4,3,1,3
30,0,Travel_Rarely,Sales,7,1,Marketing,4,Male,57,3,1,Sales Representative,2,Single,0,No,14,3,1,0,4,3,3,3,2,1,2
35,0,Travel_Rarely,Research & Development,16,3,Life Sciences,4,Male,72,3,3,Healthcare Representative,3,Married,4,Yes,12,3,3,0,10,2,3,8,7,0,0
31,1,Travel_Frequently,Research & Development,20,3,Life Sciences,1,Male,66,3,3,Healthcare Representative,3,Married,3,No,12,3,1,0,12,2,3,1,0,0,0
34,1,Travel_Frequently,Human Resources,23,3,Human Resources,2,Female,43,3,3,Human Resources,1,Divorced,9,Yes,15,3,3,3,11,2,3,3,2,0,2
42,0,Travel_Frequently,Research & Development,5,2,Other,2,Male,97,3,1,Laboratory Technician,3,Married,4,No,17,3,4,1,8,4,3,2,2,2,0
36,0,Non-Travel,Sales,10,4,Medical,2,Male,32,3,3,Sales Executive,4,Single,1,No,14,3,4,0,10,3,2,10,3,9,7
22,1,Travel_Frequently,Research & Development,4,1,Technical Degree,3,Male,99,2,1,Laboratory Technician,3,Single,5,No,16,3,3,0,4,3,3,2,2,1,2
48,0,Travel_Rarely,Sales,2,5,Marketing,2,Female,37,3,2,Sales Executive,4,Married,2,No,14,3,1,1,14,2,3,9,7,6,7
55,0,Travel_Rarely,Sales,18,5,Life Sciences,1,Female,83,3,4,Manager,2,Single,3,No,23,4,4,0,37,2,3,10,9,7,7
41,0,Non-Travel,Sales,10,2,Life Sciences,4,Male,56,3,2,Sales Executive,4,Single,7,No,14,3,4,0,16,3,3,14,3,1,10
35,0,Travel_Rarely,Sales,1,3,Marketing,2,Male,85,3,2,Sales Executive,3,Married,9,No,11,3,3,0,15,2,3,11,9,6,9
40,0,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,75,3,4,Manufacturing Director,3,Single,7,No,15,3,3,0,22,3,3,20,6,5,13
39,0,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Female,48,3,1,Laboratory Technician,3,Married,1,No,11,3,1,1,8,3,3,8,3,0,7
31,0,Travel_Rarely,Sales,2,1,Life Sciences,2,Male,77,3,2,Sales Executive,4,Single,4,Yes,13,3,3,0,10,2,4,6,5,0,5
42,0,Travel_Rarely,Research & Development,24,3,Medical,4,Male,56,3,3,Manufacturing Director,1,Married,1,Yes,21,4,4,1,10,5,2,10,9,5,8
45,0,Travel_Rarely,Sales,2,3,Other,4,Male,61,3,2,Sales Executive,2,Married,0,No,19,3,2,1,9,3,4,8,7,3,7
26,1,Travel_Frequently,Human Resources,17,4,Life Sciences,2,Female,58,3,1,Human Resources,3,Divorced,0,Yes,11,3,2,1,8,2,2,7,7,1,0
29,0,Travel_Rarely,Research & Development,19,3,Technical Degree,4,Male,34,3,2,Manufacturing Director,4,Divorced,4,No,12,3,2,2,8,2,4,3,2,1,2
33,0,Travel_Rarely,Research & Development,1,5,Medical,1,Female,95,4,4,Research Director,3,Divorced,4,No,19,3,3,1,10,2,3,6,1,0,5
31,0,Travel_Rarely,Sales,7,3,Life Sciences,3,Male,44,2,3,Manager,4,Divorced,9,No,21,4,3,1,10,3,2,5,4,0,1
18,1,Travel_Frequently,Sales,5,3,Marketing,2,Male,69,3,1,Sales Representative,2,Single,1,Yes,14,3,4,0,0,3,3,0,0,0,0
40,0,Non-Travel,Sales,28,3,Other,3,Male,58,1,3,Sales Executive,1,Divorced,3,No,15,3,3,1,20,2,3,1,0,0,1
41,0,Non-Travel,Research & Development,2,4,Other,1,Female,62,2,2,Healthcare Representative,3,Single,2,Yes,17,3,1,0,10,3,3,8,7,0,7
26,0,Travel_Rarely,Sales,29,2,Medical,1,Male,45,3,2,Sales Executive,3,Divorced,5,No,12,3,1,2,8,5,3,0,0,0,0
35,0,Travel_Rarely,Sales,1,3,Medical,1,Female,80,3,2,Sales Executive,3,Single,1,No,16,3,4,0,5,3,3,5,4,0,3
34,0,Travel_Rarely,Sales,21,4,Life Sciences,4,Male,74,4,2,Sales Executive,4,Single,1,No,12,3,4,0,10,3,3,10,7,5,7
26,1,Travel_Rarely,Research & Development,24,3,Technical Degree,3,Male,66,1,1,Laboratory Technician,4,Single,1,Yes,18,3,2,0,1,3,1,1,0,0,0
37,0,Travel_Rarely,Research & Development,1,3,Technical Degree,2,Female,59,3,3,Manufacturing Director,4,Single,4,No,17,3,4,0,12,3,4,6,5,1,2
46,0,Travel_Frequently,Research & Development,18,1,Medical,1,Female,86,3,3,Healthcare Representative,3,Married,5,No,11,3,4,0,28,3,2,2,2,1,2
41,0,Travel_Rarely,Sales,2,5,Life Sciences,2,Female,91,3,4,Manager,1,Married,7,No,16,3,2,1,22,2,3,18,16,11,8
37,0,Non-Travel,Sales,9,4,Medical,1,Male,69,3,3,Sales Executive,2,Divorced,1,No,13,3,4,1,9,6,3,9,5,7,7
52,0,Travel_Rarely,Research & Development,6,2,Technical Degree,4,Male,78,3,2,Research Scientist,1,Divorced,3,Yes,12,3,2,2,18,3,3,10,9,6,9
32,1,Non-Travel,Sales,11,4,Other,4,Male,60,4,2,Sales Executive,3,Married,8,No,12,3,4,0,6,2,3,4,2,1,2
24,0,Travel_Frequently,Sales,24,3,Medical,4,Male,38,3,1,Sales Representative,4,Married,0,No,13,3,3,2,3,3,3,2,2,2,1
38,0,Travel_Rarely,Research & Development,10,3,Medical,3,Female,76,3,2,Healthcare Representative,3,Married,3,No,19,3,3,1,18,4,3,1,0,0,0
37,0,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Female,65,3,2,Manufacturing Director,2,Married,6,No,12,3,2,1,8,2,2,6,5,4,3
49,0,Travel_Rarely,Research & Development,18,4,Life Sciences,4,Male,58,2,5,Research Director,3,Divorced,1,Yes,17,3,3,1,31,5,3,31,9,0,9
24,0,Travel_Rarely,Research & Development,23,3,Medical,2,Male,89,4,1,Research Scientist,4,Married,1,Yes,11,3,2,2,6,3,3,6,5,1,4
26,0,Travel_Rarely,Sales,28,2,Marketing,1,Male,66,3,2,Sales Executive,2,Married,1,No,20,4,4,2,6,5,4,5,3,1,4
24,0,Travel_Rarely,Research & Development,17,2,Other,4,Male,94,2,1,Laboratory Technician,2,Married,1,No,21,4,4,1,1,2,3,1,0,0,0
50,0,Travel_Frequently,Human Resources,3,3,Medical,1,Male,99,3,5,Manager,2,Married,1,No,11,3,3,1,32,2,3,32,5,10,7
25,0,Travel_Rarely,Sales,13,1,Medical,2,Male,40,3,1,Sales Representative,3,Married,1,No,11,3,3,0,7,1,3,7,4,0,6
24,1,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Female,55,3,1,Laboratory Technician,3,Married,1,Yes,16,3,4,1,6,4,3,6,3,1,2
30,1,Travel_Frequently,Sales,12,4,Life Sciences,2,Male,74,2,1,Sales Representative,1,Married,1,No,18,3,3,1,1,2,4,1,0,0,0
34,0,Travel_Rarely,Research & Development,1,2,Life Sciences,2,Male,83,2,1,Research Scientist,4,Married,1,Yes,13,3,4,1,6,3,3,6,5,1,3
31,1,Travel_Rarely,Sales,13,4,Medical,2,Male,46,3,2,Sales Executive,1,Divorced,2,No,17,3,3,0,9,2,1,3,1,1,2
35,0,Travel_Rarely,Research & Development,25,2,Other,1,Male,54,2,2,Laboratory Technician,4,Single,4,No,14,3,4,0,9,3,3,3,2,0,2
31,0,Travel_Rarely,Sales,6,4,Medical,1,Male,66,4,2,Sales Executive,4,Divorced,4,No,22,4,4,2,13,4,4,7,7,5,7
27,0,Travel_Rarely,Research & Development,6,4,Medical,1,Female,66,2,1,Research Scientist,3,Divorced,0,No,12,3,3,2,6,5,2,5,3,0,3
37,0,Travel_Rarely,Sales,2,3,Marketing,4,Male,75,3,2,Sales Executive,3,Married,4,Yes,11,3,3,1,17,3,2,3,0,1,0
20,0,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,83,2,1,Research Scientist,2,Single,1,No,13,3,4,0,1,0,4,1,0,0,0
42,0,Travel_Rarely,Research & Development,2,4,Life Sciences,3,Female,81,3,2,Healthcare Representative,4,Married,1,No,13,3,2,2,10,4,3,10,2,2,2
43,0,Travel_Rarely,Research & Development,6,4,Other,2,Male,50,2,4,Research Director,4,Divorced,4,Yes,14,3,3,1,21,3,2,1,0,0,0
38,0,Travel_Rarely,Research & Development,1,1,Life Sciences,3,Female,43,3,1,Research Scientist,1,Single,3,No,17,3,4,0,8,3,2,0,0,0,0
43,0,Travel_Frequently,Research & Development,9,5,Medical,4,Male,72,3,2,Laboratory Technician,3,Divorced,3,Yes,13,3,2,1,10,3,3,8,7,4,7
48,0,Travel_Rarely,Research & Development,1,4,Life Sciences,4,Female,40,2,4,Manager,1,Married,7,No,11,3,1,1,21,3,1,3,2,0,2
44,0,Travel_Rarely,Human Resources,1,4,Life Sciences,1,Female,50,2,2,Human Resources,3,Single,4,No,11,3,2,0,10,1,4,2,2,0,2
34,0,Travel_Rarely,Sales,14,3,Technical Degree,3,Female,31,3,1,Sales Representative,3,Divorced,1,Yes,18,3,4,2,8,3,3,8,2,0,6
27,1,Travel_Rarely,Sales,2,1,Marketing,3,Male,85,3,1,Sales Representative,1,Divorced,0,No,11,3,2,1,5,3,3,4,3,0,2
21,0,Travel_Rarely,Sales,22,1,Technical Degree,3,Male,49,3,1,Sales Representative,3,Single,1,No,11,3,3,0,3,2,3,3,2,1,2
44,0,Travel_Rarely,Research & Development,3,4,Other,4,Male,35,3,5,Manager,4,Married,4,Yes,12,3,1,1,26,2,4,2,2,0,1
22,0,Travel_Rarely,Research & Development,6,1,Medical,1,Male,69,3,1,Research Scientist,3,Married,0,No,20,4,4,0,3,3,3,2,2,2,2
33,0,Travel_Rarely,Sales,8,4,Marketing,3,Male,39,3,2,Sales Executive,3,Divorced,0,No,12,3,4,0,6,3,3,5,0,1,2
32,0,Travel_Rarely,Research & Development,9,4,Life Sciences,1,Female,92,3,2,Research Scientist,4,Married,1,Yes,12,3,4,1,6,2,2,6,4,0,5
30,0,Travel_Frequently,Research & Development,3,3,Medical,3,Female,71,3,1,Research Scientist,3,Divorced,1,No,20,4,3,1,1,2,3,1,0,0,0
53,0,Travel_Rarely,Sales,1,1,Medical,4,Female,34,3,2,Sales Executive,1,Single,7,No,20,4,4,0,18,2,4,14,7,8,10
34,0,Travel_Rarely,Research & Development,1,5,Life Sciences,2,Male,42,3,1,Research Scientist,4,Married,1,No,12,3,4,1,10,4,2,10,9,8,8
45,1,Travel_Frequently,Sales,26,4,Life Sciences,1,Female,100,3,2,Sales Executive,1,Married,2,No,14,3,4,2,5,4,3,1,1,0,0
26,0,Travel_Rarely,Research & Development,6,3,Life Sciences,3,Female,71,3,1,Laboratory Technician,4,Married,1,Yes,13,3,3,1,3,2,3,3,2,0,2
37,0,Travel_Rarely,Research & Development,3,3,Other,3,Male,36,3,3,Manufacturing Director,3,Married,1,No,15,3,3,1,10,2,3,10,7,7,8
29,0,Travel_Rarely,Sales,3,2,Medical,2,Female,62,3,2,Sales Executive,3,Married,1,No,14,3,1,1,6,5,2,6,0,1,2
35,0,Travel_Rarely,Research & Development,6,4,Life Sciences,2,Male,82,1,2,Research Scientist,4,Single,1,No,13,3,2,0,17,3,3,17,11,11,8
33,0,Travel_Frequently,Research & Development,6,3,Life Sciences,3,Male,30,3,2,Healthcare Representative,4,Divorced,3,No,23,4,3,1,15,2,1,13,11,4,7
54,0,Travel_Rarely,Human Resources,19,4,Medical,3,Male,88,3,3,Human Resources,2,Married,2,No,15,3,3,1,16,1,4,9,7,7,1
36,0,Travel_Rarely,Research & Development,9,2,Medical,2,Male,48,2,2,Manufacturing Director,2,Divorced,2,Yes,11,3,3,1,13,2,3,3,2,0,2
27,0,Travel_Rarely,Research & Development,3,4,Medical,1,Male,54,2,1,Research Scientist,4,Single,0,No,13,3,4,0,5,0,3,4,2,1,1
20,1,Travel_Rarely,Research & Development,10,1,Medical,4,Male,32,3,1,Research Scientist,3,Single,1,Yes,11,3,4,0,1,5,3,1,0,1,1
33,1,Travel_Frequently,Research & Development,3,3,Life Sciences,1,Male,70,3,1,Research Scientist,1,Single,1,Yes,11,3,1,0,10,3,3,10,8,9,7
35,0,Non-Travel,Research & Development,3,3,Life Sciences,3,Male,41,2,1,Laboratory Technician,3,Married,1,No,18,3,3,2,1,3,3,1,0,0,0
23,0,Travel_Rarely,Research & Development,4,3,Medical,1,Male,58,4,1,Research Scientist,1,Married,2,No,16,3,1,1,5,3,4,3,2,0,2
25,0,Travel_Rarely,Sales,8,3,Life Sciences,4,Male,57,4,2,Sales Executive,2,Married,0,No,22,4,3,1,4,4,3,3,2,1,2
38,0,Travel_Rarely,Sales,7,4,Marketing,4,Female,46,2,2,Sales Executive,4,Single,0,No,20,4,1,0,8,2,3,7,7,0,5
29,0,Travel_Frequently,Research & Development,1,4,Life Sciences,2,Male,76,1,1,Research Scientist,4,Divorced,1,No,18,3,4,1,10,5,3,10,7,2,8
48,0,Travel_Rarely,Sales,2,1,Marketing,2,Male,56,4,2,Sales Executive,2,Married,3,No,12,3,4,0,12,3,3,2,2,2,2
27,0,Travel_Frequently,Sales,3,1,Medical,4,Female,71,4,2,Sales Executive,4,Divorced,1,Yes,20,4,2,2,6,3,3,6,5,0,4
37,0,Travel_Rarely,Research & Development,10,2,Life Sciences,4,Male,80,4,1,Research Scientist,4,Single,3,No,17,3,1,0,4,2,3,1,0,0,0
50,0,Travel_Rarely,Research & Development,28,1,Medical,4,Male,74,4,1,Laboratory Technician,3,Married,1,Yes,11,3,3,3,20,3,3,20,8,3,8
34,0,Travel_Rarely,Research & Development,9,3,Medical,4,Female,46,2,3,Healthcare Representative,2,Single,1,No,14,3,2,0,9,3,4,8,7,7,7
24,1,Travel_Rarely,Sales,3,2,Life Sciences,1,Female,65,3,2,Sales Executive,3,Single,9,No,14,3,1,0,4,3,3,2,2,2,0
39,0,Travel_Rarely,Research & Development,2,4,Technical Degree,4,Female,80,2,2,Healthcare Representative,3,Single,1,No,11,3,1,0,20,4,3,20,7,11,10
32,0,Travel_Rarely,Sales,10,3,Marketing,4,Male,55,3,2,Sales Executive,4,Single,1,No,12,3,4,0,10,2,2,10,7,0,8
50,1,Travel_Frequently,Sales,8,2,Technical Degree,2,Male,50,3,2,Sales Executive,3,Married,3,Yes,14,3,1,1,18,4,3,4,3,1,3
38,0,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Female,33,4,2,Healthcare Representative,4,Single,0,No,13,3,3,0,10,4,2,9,7,1,8
27,0,Travel_Rarely,Research & Development,1,2,Life Sciences,3,Female,68,3,3,Manufacturing Director,1,Married,1,No,11,3,4,0,9,3,3,9,7,0,7
32,0,Travel_Rarely,Research & Development,3,2,Life Sciences,3,Female,39,3,3,Research Director,4,Single,3,No,15,3,4,0,10,6,3,7,7,7,7
47,0,Travel_Rarely,Sales,14,4,Marketing,4,Male,42,3,2,Sales Executive,1,Single,2,No,12,3,4,0,20,2,3,7,7,1,7
40,0,Travel_Frequently,Sales,5,4,Life Sciences,4,Male,48,2,3,Sales Executive,1,Married,5,Yes,21,4,3,1,20,2,3,18,13,1,12
53,0,Travel_Rarely,Research & Development,7,3,Life Sciences,3,Male,59,4,4,Research Director,3,Married,3,No,19,3,3,0,32,3,3,5,1,1,3
41,0,Travel_Rarely,Human Resources,10,4,Human Resources,2,Male,73,2,5,Manager,4,Divorced,3,No,15,3,2,3,23,2,2,21,6,12,6
60,0,Travel_Rarely,Sales,16,4,Marketing,1,Male,84,3,2,Sales Executive,1,Single,8,No,14,3,4,0,10,1,3,2,2,2,2
27,0,Travel_Frequently,Research & Development,10,2,Life Sciences,4,Male,32,3,3,Manufacturing Director,1,Divorced,1,No,21,4,3,2,9,4,2,9,7,1,7
